productId,storeId,date,quantity,revenue
PROD001,STORE001,2024-01-01,150,1500
PROD001,STORE001,2024-01-02,165,1650
PROD001,STORE001,2024-01-03,142,1420
PROD001,STORE001,2024-01-04,158,1580
PROD001,STORE001,2024-01-05,172,1720
PROD001,STORE001,2024-01-06,145,1450
PROD001,STORE001,2024-01-07,139,1390
PROD001,STORE001,2024-01-08,168,1680
PROD001,STORE001,2024-01-09,155,1550
PROD001,STORE001,2024-01-10,162,1620
PROD001,STORE001,2024-01-11,148,1480
PROD001,STORE001,2024-01-12,176,1760
PROD001,STORE001,2024-01-13,159,1590
PROD001,STORE001,2024-01-14,144,1440
PROD001,STORE001,2024-01-15,167,1670
PROD002,STORE001,2024-01-01,200,2000
PROD002,STORE001,2024-01-02,210,2100
PROD002,STORE001,2024-01-03,195,1950
PROD002,STORE001,2024-01-04,205,2050
PROD002,STORE001,2024-01-05,220,2200
PROD002,STORE001,2024-01-06,198,1980
PROD002,STORE001,2024-01-07,192,1920
PROD002,STORE001,2024-01-08,215,2150
PROD002,STORE001,2024-01-09,208,2080
PROD002,STORE001,2024-01-10,203,2030
